Время - Уставка	Давление [МПа] - Уставка	Время - Текущее	Давление [МПа] - Текущее	Время - ДД 38.2	Давление [МПа] - ДД 38.2
2404	0	2404	0,495238	2404	0,0202294
2404	0	2404	0,495238	2404	0,0164439
2405	0	2405	0,495238	2405	0,0164439
2405	0	2405	0,495238	2405	0,0154824
2405	0	2405	0,495238	2405	0,0154824
2405	0	2405	0,495238	2405	0,0131446
2405	0	2405	0,495238	2405	0,0131446
2405	0	2405	0,495238	2405	0,0105
2405	0	2405	0,495238	2405	0,0105
2405	0	2405	0,495238	2405	0,0104882
2405	0	2405	0,495238	2405	0,0104882
2406	0	2406	0,495238	2406	0,0104882
2406	0	2406	0,495238	2406	0,00363037
2406	0	2406	0,495238	2406	0,00363037
2406	0	2406	0,495238	2406	0,00327218
2406	0	2406	0,495238	2406	0,00327218
2406	0	2406	0,495238	2406	0,000595924
2406	0	2406	0,495238	2406	0,000595924
2406	0	2406	0,495238	2406	0,000595924
2406	0	2406	0,495238	2406	-0,00669595
2406	0	2406	0,495238	2406	-0,00669595
2406	0	2406	0,495238	2406	0,00483356
2407	0	2407	0,495238	2407	0,00483356
2407	0	2407	0,495238	2407	0,00483356
2407	0	2407	0,495238	2407	0,00466677
2407	0	2407	0,495238	2407	0,00466677
2407	0	2407	0,495238	2407	0,00777486
2407	0	2407	0,495238	2407	0,00777486
2407	0	2407	0,495238	2407	0,0057986
2407	0	2407	0,495238	2407	0,0057986
2407	0	2407	0,495238	2407	0,0034156
2408	0	2408	0,495238	2408	0,0034156
2408	0	2408	0,495238	2408	0,0034156
2408	0	2408	0,495238	2408	0,0101314
2408	0	2408	0,495238	2408	0,0101314
2408	0	2408	0,495238	2408	0,0128719
2408	0	2408	0,495238	2408	0,0128719
2408	0	2408	0,495238	2408	0,0132849
2408	0	2408	0,495238	2408	0,0132849
2408	0	2408	0,495238	2408	0,0132849
2408	0	2408	0,495238	2408	0,0225156
2408	0	2408	0,495238	2408	0,0225156
2409	0	2409	0,495238	2409	0,0165073
2409	0	2409	0,495238	2409	0,0165073
2409	0	2409	0,495238	2409	0,0194698
2409	0	2409	0,495238	2409	0,0194698
2409	0	2409	0,495238	2409	0,0198384
2409	0	2409	0,495238	2409	0,0198384
2409	0	2409	0,495238	2409	0,0205602
2409	0	2409	0,495238	2409	0,0205602
2409	0	2409	0,495238	2409	0,0212325
2410	0	2410	0,495238	2410	0,0212325
2410	0	2410	0,495238	2410	0,0200248
2410	0	2410	0,495238	2410	0,0200248
2410	0	2410	0,495238	2410	0,0131704
2410	0	2410	0,495238	2410	0,0131704
2410	0	2410	0,495238	2410	0,0171975
2410	0	2410	0,495238	2410	0,0171975
2410	0	2410	0,495238	2410	0,0171975
2410	0	2410	0,495238	2410	0,019032
2410	0	2410	0,495238	2410	0,019032
2410	0	2410	0,495238	2410	0,0182065
2411	0	2411	0,495238	2411	0,0182065
2411	0	2411	0,495238	2411	0,0182065
2411	0	2411	0,495238	2411	0,0150523
2411	0	2411	0,495238	2411	0,0150523
2411	0	2411	0,495238	2411	0,0124173
